n_gram,freq
they had,8026
in one,8025
made a,8024
to read,8016
and what,8013
you in,8005
in order,8003
i found,7995
said in,7978
i also,7972
we don't,7908
was going,7895
top of,7893
are going,7882
me that,7882
but that,7878
where i,7878
next week,7851
off to,7849
united states,7841
to share,7836
time in,7835
on our,7827
that there,7821
she has,7818
am i,7813
continue to,7810
i knew,7804
a nice,7792
i said,7789
the back,7781
think about,7780
to stay,7748
and this,7725
think that,7716
full of,7711
makes me,7710
what are,7691
his own,7686
and will,7658
seem to,7651
live in,7628
be on,7610
we do,7610
no longer,7574
the idea,7572
do that,7565
all my,7561
you see,7551
i'm so,7545
and some,7542
until the,7542
not just,7531
told me,7509
the public,7497
the road,7496
with that,7490
take the,7485
made it,7477
all day,7475
and there,7473
do with,7465
talk to,7465
while the,7453
what do,7451
find a,7451
any of,7449
every day,7444
to follow,7439
to show,7417
can i,7412
would like,7411
they don't,7401
much more,7398
was an,7385
to live,7382
when she,7381
for those,7378
close to,7370
one day,7369
a better,7368
i made,7367
the man,7365
to create,7327
back and,7316
of time,7291
has the,7286
waiting for,7277
and has,7273
amount of,7264
to write,7247
good luck,7243
listen to,7240
it the,7233
the old,7231
it doesn't,7211
it but,7209
to bring,7208
the great,7208
with their,7204
in it,7192
or not,7192
only one,7186
that's a,7175
me in,7174
with some,7160
you just,7148
the school,7148
to that,7142
with all,7137
is this,7133
at my,7123
about this,7122
how the,7117
that's what,7113
to learn,7111
here in,7109
it's been,7105
your own,7098
all over,7093
in all,7093
life is,7078
my new,7068
know the,7067
how i,7060
but if,7055
the kids,7055
the entire,7049
much as,7048
two years,7046
day and,7045
wait for,7044
about how,7040
and when,7037
expected to,7031
in to,7031
on her,6992
of me,6981
got the,6979
interested in,6977
it with,6975
just as,6975
los angeles,6973
them in,6950
and even,6940
what he,6925
it seems,6901
for them,6894
she had,6890
out on,6882
a large,6876
he will,6861
excited to,6842
before i,6842
the third,6835
to him,6818
them and,6818
which was,6811
that one,6798
people in,6794
look like,6793
to move,6790
here is,6786
would not,6775
next year,6766
the good,6756
no matter,6745
out a,6745
the morning,6743
sense of,6738
came to,6732
so the,6729
order to,6726
and one,6723
him and,6721
can see,6712
to change,6706
and an,6702
to leave,6689
as if,6681
i always,6678
it just,6639
and its,6639
you would,6608
in some,6602
for him,6595
me the,6581
but in,6575
know if,6565
see what,6557
said she,6549
my mind,6545
which i,6544
to eat,6539
that in,6538
lack of,6538
good to,6532
in its,6525
so you,6509
now that,6508
this season,6503
how do,6501
he says,6498
an hour,6497
among the,6486
who had,6481
i believe,6478
a bad,6477
the real,6460
today i,6453
my heart,6451
well i,6447
next to,6444
director of,6440
my head,6439
why i,6438
looking at,6414
a whole,6413
said they,6411
what to,6409
is about,6406
but a,6404
and as,6403
it can,6397
just like,6388
be there,6382
you so,6368
along the,6362
day to,6362
not going,6361
things that,6355
that's the,6341
he did,6339
and your,6339
are all,6333
the car,6321
it wasn't,6320
the sun,6318
would you,6316
since i,6311
i'm sure,6310
it as,6307
a friend,6305
but this,6303
the ball,6297
people to,6296
more of,6293
it comes,6292
was to,6289
the family,6288
out with,6277
to run,6276
in love,6271
yes i,6271
do a,6262
the government,6259
they would,6258
is more,6256
a real,6240
use the,6238
needed to,6234
i couldn't,6232
you may,6224
of being,6223
comes to,6218
the number,6216
it's just,6213
a different,6212
years of,6199
year and,6196
for example,6191
ability to,6190
think it,6189
gonna be,6186
made the,6186
see it,6182
that my,6178
would love,6166
may not,6166
to sleep,6164
where you,6163
i say,6157
thinking about,6155
day i,6151
miss you,6144
you too,6120
what was,6117
the door,6105
my friend,6100
with him,6095
be an,6094
to them,6090
of new,6082
we got,6079
the biggest,6075
i felt,6062
to let,6062
san francisco,6060
think the,6059
me know,6045
and make,6045
happy to,6042
the main,6035
the worst,6027
and had,6024
the movie,6023
same time,6019
that have,6016
a month,6015
piece of,6015
is very,6008
at work,6002
might have,5997
use of,5997
was on,5987
deal with,5986
long time,5986
so it,5984
when a,5980
sure to,5978
the week,5977
even more,5974
the university,5972
opportunity to,5971
the law,5969
on friday,5963
back on,5962
group of,5960
a single,5959
your life,5955
just the,5953
that can,5929
make me,5929
the american,5927
social media,5921
become a,5920
am not,5909
you i,5906
and no,5902
the very,5902
his first,5898
told the,5896
university of,5894
and are,5890
a woman,5884
every time,5881
because he,5878
we should,5877
list of,5855
at p_m,5855
see a,5851
of life,5847
the bottom,5844
is all,5841
find out,5837
and just,5829
that if,5812
a wonderful,5810
they do,5809
the weekend,5809
time of,5801
do this,5798
long as,5787
hope to,5785
took a,5783
only a,5780
we could,5779
with them,5776
have had,5768
did i,5768
something that,5767
the film,5762
the point,5753
is your,5751
easy to,5749
the money,5742
my friends,5736
he could,5730
work on,5725
with us,5723
have some,5721
little bit,5713
throughout the,5713
a second,5706
and that's,5696
have any,5685
the truth,5683
are still,5681
like you,5679
his wife,5678
won't be,5675
up at,5672
and on,5670
so excited,5651
willing to,5648
there's no,5645
today is,5641
could not,5639
over a,5639
is there,5636
all about,5635
where he,5634
a more,5634
made me,5633
i might,5631
here and,5626
the name,5605
a book,5601
i started,5589
i'm just,5582
type of,5581
from his,5579
while i,5570
just to,5569
on saturday,5566
now and,5565
you might,5565
the problem,5563
after all,5559
but there,5556
plenty of,5550
about that,5549
he can,5548
sounds like,5546
go back,5545
had no,5545
life and,5541
one thing,5535
believe that,5531
through a,5530
home and,5527
to check,5525
way of,5524
some people,5508
how you,5500
get out,5498
then the,5493
members of,5492
her to,5492
work with,5490
about what,5483
come back,5481
behind the,5472
the moment,5470
come on,5470
in addition,5466
was one,5453
watching the,5453
president of,5449
as long,5442
down and,5438
focus on,5437
